NF;Produto;Categoria;Valor;Quantidade;Total bruto;Forma de pagamento;Data da venda;Comissão;Data Vencimento;Vendedor Novo
1176;Tênis;Seção Feminina;38,93;72;2802,96;À vista - Dinheiro;29/01/2021;0,1;29/01/2021;0
1177;Vestido;Seção Masculina;21,2;62;1314,4;Boleto - à prazo;29/01/2021;0,1;14/03/2021;0
1178;Sapato;Seção Masculina;21,2;98;2077,6;À prazo - Cartão;30/01/2021;0,1;29/03/2021;1
1179;Sapato;Seção Feminina;44,21;95;4199,95;À prazo - Cartão;31/01/2021;0,15;22/03/2021;1
1180;Calça;Seção Masculina;26,55;51;1354,05;À vista - boleto;31/01/2021;0,1;27/02/2021;0
1181;Vestido;Seção Masculina;26,1;71;1853,1;Boleto - à prazo;31/01/2021;0,15;08/02/2021;0
1182;Sapato;Seção Masculina;44,21;21;928,41;Boleto - à prazo;31/01/2021;0,1;15/02/2021;1
1183;Vestido;Seção Feminina;26,1;90;2349;Boleto - à prazo;02/02/2021;0,1;28/02/2021;0
1184;Vestido;Seção Feminina;26,55;25;663,75;Dinheiro - À vista;02/02/2021;0,1;02/02/2021;1
1185;Vestido;Seção Feminina;26,55;58;1539,9;Boleto - à prazo;02/02/2021;0,1;22/02/2021;1
1186;Casaco;Seção Masculina;38,93;39;1518,27;Boleto - à prazo;04/02/2021;0,15;14/03/2021;1
1187;Tênis;Seção Feminina;21;54;1134;Boleto - à prazo;05/02/2021;0,1;22/02/2021;1
1188;Casaco;Seção Masculina;38,93;80;3114,4;Boleto - à prazo;05/02/2021;0,1;23/02/2021;0
1189;Sapato;Seção Masculina;44,21;83;3669,43;Boleto - à prazo;05/02/2021;0,1;21/02/2021;0
1190;Vestido;Seção Masculina;44,21;47;2077,87;À vista - boleto;06/02/2021;0,1;30/03/2021;1
1191;Calça;Seção Feminina;21,2;24;508,8;Boleto - à prazo;06/02/2021;0,1;07/03/2021;1
1192;Calça;Seção Masculina;44,21;68;3006,28;À vista - boleto;06/02/2021;0,1;03/04/2021;1
1193;Casaco;Seção Masculina;26,55;98;2601,9;À vista - cartão;07/02/2021;0,15;18/03/2021;1
1194;Vestido;Seção Feminina;21,2;81;1717,2;Boleto - à prazo;07/02/2021;0,05;11/02/2021;1
1195;Vestido;Seção Masculina;26,55;14;371,7;À vista - boleto;08/02/2021;0,1;13/03/2021;1
1196;Vestido;Seção Feminina;38,93;45;1751,85;Boleto - à prazo;08/02/2021;0,1;20/02/2021;1
1197;Sapato;Seção Feminina;26,1;34;887,4;Boleto - à prazo;09/02/2021;0,1;14/03/2021;0
1198;Calça;Seção Masculina;35,18;84;2955,12;À prazo - Cartão;09/02/2021;0,15;08/04/2021;1
1199;Sapato;Seção Feminina;26,55;38;1008,9;Boleto - à prazo;10/02/2021;0,05;17/03/2021;1
1200;Vestido;Seção Masculina;38,93;12;467,16;À prazo - Cartão;11/02/2021;0,15;03/03/2021;1
1201;Vestido;Seção Feminina;26,1;56;1461,6;Boleto - à prazo;13/02/2021;0,15;03/03/2021;0
1202;Sapato;Seção Feminina;21;18;378;À prazo - Cartão;13/02/2021;0,1;04/03/2021;1
1203;Sapato;Seção Masculina;21,34;25;533,5;Boleto - à prazo;14/02/2021;0,1;06/04/2021;0
1204;Sapato;Seção Masculina;26,1;89;2322,9;Boleto - à prazo;14/02/2021;0,1;15/03/2021;0
1205;Vestido;Seção Masculina;26,55;100;2655;À vista - boleto;14/02/2021;0,15;27/03/2021;0
1206;Vestido;Seção Feminina;26,1;78;2035,8;À prazo - Cartão;15/02/2021;0,15;03/03/2021;1
1207;Sapato;Seção Feminina;44,21;34;1503,14;À prazo - Cartão;15/02/2021;0,05;25/03/2021;0
1208;Sapato;Seção Feminina;26,1;9;234,9;Boleto - à prazo;15/02/2021;0,15;31/03/2021;0
1209;Casaco;Seção Masculina;21,34;27;576,18;Boleto - à prazo;15/02/2021;0,1;02/03/2021;0
1210;Vestido;Seção Masculina;38,93;32;1245,76;À prazo - Cartão;15/02/2021;0,15;26/02/2021;1
1211;Vestido;Seção Masculina;21,2;75;1590;Boleto - à prazo;16/02/2021;0,1;18/03/2021;1
1212;Vestido;Seção Feminina;38,93;3;116,79;À vista - boleto;16/02/2021;0,1;20/03/2021;0
1213;Tênis;Seção Masculina;21,2;16;339,2;À prazo - Cartão;16/02/2021;0,1;06/04/2021;1
1214;Vestido;Seção Masculina;21,2;44;932,8;À vista - boleto;17/02/2021;0,15;22/03/2021;1
1215;Vestido;Seção Feminina;35,18;23;809,14;Boleto - à prazo;17/02/2021;0,15;31/03/2021;0
1216;Calça;Seção Feminina;26,55;24;637,2;Dinheiro - À vista;17/02/2021;0,1;17/02/2021;1
1217;Sapato;Seção Feminina;21,34;61;1301,74;À prazo - Cartão;18/02/2021;0,1;02/04/2021;0
1218;Vestido;Seção Masculina;26,1;43;1122,3;Boleto - à prazo;18/02/2021;0,1;06/04/2021;1
1219;Sapato;Seção Feminina;35,18;11;386,98;Boleto - à prazo;20/02/2021;0,1;28/03/2021;0
1220;Sapato;Seção Feminina;21,2;97;2056,4;Boleto - à prazo;20/02/2021;0,15;08/03/2021;1
1221;Sapato;Seção Masculina;21,2;38;805,6;Boleto - à prazo;21/02/2021;0,05;02/04/2021;1
1222;Sapato;Seção Feminina;38,93;60;2335,8;À vista - boleto;21/02/2021;0,1;16/04/2021;0
1223;Vestido;Seção Masculina;21,34;28;597,52;À prazo - Cartão;22/02/2021;0,15;12/04/2021;0
1224;Vestido;Seção Masculina;26,1;80;2088;À vista - boleto;23/02/2021;0,1;08/04/2021;0
1225;Casaco;Seção Masculina;44,21;72;3183,12;À vista - Dinheiro;23/02/2021;0,1;23/02/2021;0
1226;Sapato;Seção Masculina;44,21;26;1149,46;Boleto - à prazo;23/02/2021;0,15;09/03/2021;0
1227;Vestido;Seção Feminina;38,93;99;3854,07;À vista - cartão;24/02/2021;0,1;10/03/2021;1
1228;Vestido;Seção Feminina;21,34;68;1451,12;Boleto - à prazo;25/02/2021;0,1;15/03/2021;0
1229;Casaco;Seção Masculina;26,1;73;1905,3;À prazo - Cartão;26/02/2021;0,1;09/03/2021;1
1230;Sapato;Seção Feminina;26,1;69;1800,9;À prazo - Cartão;26/02/2021;0,15;03/04/2021;0
1231;Sapato;Seção Feminina;21,34;2;42,68;À vista - boleto;28/02/2021;0,1;06/03/2021;0
1232;Tênis;Seção Feminina;21,2;84;1780,8;Dinheiro - À vista;28/02/2021;0,15;28/02/2021;1
1233;Sapato;Seção Masculina;21;20;420;Boleto - à prazo;01/03/2021;0,1;14/03/2021;0
1234;Vestido;Seção Feminina;21,2;23;487,6;À vista - Dinheiro;01/03/2021;0,1;01/03/2021;1
1235;Casaco;Seção Masculina;26,55;27;716,85;Boleto - à prazo;02/03/2021;0,1;30/03/2021;0
1236;Sapato;Seção Masculina;26,55;58;1539,9;À vista - cartão;02/03/2021;0,1;03/03/2021;1
1237;Sapato;Seção Feminina;21;32;672;Boleto - à prazo;02/03/2021;0,1;13/04/2021;0
1238;Casaco;Seção Masculina;44,21;28;1237,88;À prazo - Cartão;02/03/2021;0,05;25/03/2021;1
1239;Sapato;Seção Masculina;21,2;19;402,8;À prazo - Cartão;04/03/2021;0,1;29/03/2021;0
1240;Calça;Seção Masculina;38,93;17;661,81;À vista - boleto;06/03/2021;0,1;28/03/2021;0
1241;Sapato;Seção Feminina;38,93;66;2569,38;Dinheiro - À vista;06/03/2021;0,1;06/03/2021;0
1242;Tênis;Seção Masculina;38,93;23;895,39;Dinheiro - À vista;06/03/2021;0,1;06/03/2021;0
1243;Sapato;Seção Feminina;21;85;1785;À prazo - Cartão;06/03/2021;0,1;13/03/2021;0
1244;Vestido;Seção Masculina;38,93;47;1829,71;À prazo - Cartão;08/03/2021;0,1;01/05/2021;0
1245;Vestido;Seção Feminina;44,21;43;1901,03;À vista - cartão;08/03/2021;0,15;22/03/2021;1
1246;Vestido;Seção Masculina;21,2;97;2056,4;À vista - boleto;09/03/2021;0,1;08/04/2021;0
1247;Casaco;Seção Masculina;26,55;100;2655;Boleto - à prazo;09/03/2021;0,15;30/04/2021;1
1248;Vestido;Seção Masculina;26,1;75;1957,5;Boleto - à prazo;10/03/2021;0,1;14/04/2021;1
1249;Casaco;Seção Feminina;35,18;13;457,34;À prazo - Cartão;10/03/2021;0,15;17/03/2021;0
1250;Sapato;Seção Feminina;26,55;58;1539,9;À vista - boleto;11/03/2021;0,1;14/03/2021;1
1251;Vestido;Seção Masculina;21,34;97;2069,98;À vista - cartão;11/03/2021;0,15;02/04/2021;0
1252;Calça;Seção Masculina;44,21;14;618,94;À prazo - Cartão;11/03/2021;0,1;26/04/2021;1
1253;Tênis;Seção Feminina;26,55;73;1938,15;Boleto - à prazo;11/03/2021;0,1;05/05/2021;0
1254;Tênis;Seção Feminina;35,18;23;809,14;Boleto - à prazo;12/03/2021;0,1;21/04/2021;1
1255;Sapato;Seção Feminina;38,93;23;895,39;Boleto - à prazo;12/03/2021;0,1;02/04/2021;1
1256;Vestido;Seção Feminina;21,34;13;277,42;Boleto - à prazo;12/03/2021;0,1;21/04/2021;1
1257;Vestido;Seção Masculina;26,55;64;1699,2;À vista - boleto;15/03/2021;0,1;26/04/2021;1
1258;Sapato;Seção Masculina;21,34;9;192,06;Boleto - à prazo;16/03/2021;0,1;23/04/2021;0
1259;Casaco;Seção Feminina;21,2;91;1929,2;Boleto - à prazo;16/03/2021;0,1;06/04/2021;1
1260;Calça;Seção Feminina;21,34;76;1621,84;Boleto - à prazo;17/03/2021;0,05;23/04/2021;1
1261;Calça;Seção Feminina;35,18;92;3236,56;Boleto - à prazo;17/03/2021;0,15;06/05/2021;1
1262;Tênis;Seção Feminina;26,55;67;1778,85;À vista - Dinheiro;17/03/2021;0,15;17/03/2021;1
1263;Tênis;Seção Masculina;21;48;1008;À prazo - Cartão;17/03/2021;0,15;06/05/2021;0
1264;Casaco;Seção Feminina;38,93;31;1206,83;Boleto - à prazo;18/03/2021;0,15;09/05/2021;1
1265;Tênis;Seção Feminina;21;33;693;À prazo - Cartão;18/03/2021;0,05;17/05/2021;1
1266;Vestido;Seção Masculina;26,55;27;716,85;Boleto - à prazo;18/03/2021;0,1;08/04/2021;1
1267;Sapato;Seção Masculina;26,1;89;2322,9;Boleto - à prazo;19/03/2021;0,1;07/04/2021;0
1268;Vestido;Seção Masculina;26,55;94;2495,7;Dinheiro - À vista;19/03/2021;0,1;19/03/2021;0
1269;Sapato;Seção Masculina;44,21;83;3669,43;À prazo - Cartão;19/03/2021;0,1;16/05/2021;0
1270;Vestido;Seção Feminina;38,93;27;1051,11;À prazo - Cartão;19/03/2021;0,1;22/04/2021;1
1271;Vestido;Seção Feminina;44,21;45;1989,45;À vista - cartão;20/03/2021;0,1;30/03/2021;0
1272;Vestido;Seção Feminina;26,55;64;1699,2;À vista - cartão;20/03/2021;0,1;23/04/2021;1
1273;Calça;Seção Feminina;35,18;20;703,6;Boleto - à prazo;22/03/2021;0,1;06/04/2021;1
1274;Calça;Seção Feminina;21,34;76;1621,84;Boleto - à prazo;22/03/2021;0,1;23/04/2021;0
1275;Vestido;Seção Masculina;21,34;31;661,54;Boleto - à prazo;22/03/2021;0,1;31/03/2021;1
1276;Calça;Seção Feminina;26,55;66;1752,3;Boleto - à prazo;22/03/2021;0,1;18/04/2021;1
1277;Casaco;Seção Feminina;38,93;62;2413,66;Dinheiro - À vista;22/03/2021;0,1;22/03/2021;0
1278;Vestido;Seção Feminina;26,55;27;716,85;Boleto - à prazo;22/03/2021;0,1;17/05/2021;0
1279;Vestido;Seção Feminina;44,21;90;3978,9;À vista - boleto;23/03/2021;0,05;21/04/2021;0
1280;Sapato;Seção Masculina;21,34;3;64,02;Boleto - à prazo;24/03/2021;0,15;15/05/2021;0
1281;Sapato;Seção Masculina;26,55;45;1194,75;Boleto - à prazo;24/03/2021;0,1;24/04/2021;1
1282;Calça;Seção Feminina;44,21;45;1989,45;À prazo - Cartão;25/03/2021;0,15;01/05/2021;1
1283;Vestido;Seção Masculina;44,21;4;176,84;Boleto - à prazo;25/03/2021;0,1;25/04/2021;1
1284;Calça;Seção Masculina;26,55;71;1885,05;Dinheiro - À vista;27/03/2021;0,15;27/03/2021;0
1285;Vestido;Seção Feminina;26,1;43;1122,3;À prazo - Cartão;27/03/2021;0,1;16/05/2021;0
1286;Sapato;Seção Masculina;38,93;9;350,37;À vista - boleto;27/03/2021;0,15;15/04/2021;1
1287;Casaco;Seção Feminina;21,2;13;275,6;À prazo - Cartão;28/03/2021;0,15;25/05/2021;0
1288;Sapato;Seção Masculina;38,93;74;2880,82;À prazo - Cartão;28/03/2021;0,1;13/04/2021;0
1289;Sapato;Seção Masculina;26,55;29;769,95;Boleto - à prazo;29/03/2021;0,1;28/04/2021;1
1290;Calça;Seção Feminina;21,2;36;763,2;À vista - boleto;29/03/2021;0,1;20/05/2021;0
1291;Sapato;Seção Feminina;44,21;51;2254,71;Boleto - à prazo;29/03/2021;0,05;04/04/2021;1
1292;Casaco;Seção Masculina;21,2;95;2014;À vista - boleto;29/03/2021;0,1;17/04/2021;0
1293;Casaco;Seção Masculina;44,21;40;1768,4;À vista - boleto;29/03/2021;0,1;26/05/2021;0
1294;Sapato;Seção Feminina;38,93;39;1518,27;Boleto - à prazo;30/03/2021;0,1;06/04/2021;0
1295;Casaco;Seção Masculina;26,55;32;849,6;À vista - cartão;30/03/2021;0,05;21/05/2021;0
1296;Vestido;Seção Masculina;26,55;70;1858,5;À prazo - Cartão;30/03/2021;0,05;16/05/2021;0
1297;Calça;Seção Masculina;38,93;30;1167,9;À vista - cartão;01/04/2021;0,1;16/04/2021;0
1298;Vestido;Seção Feminina;26,55;20;531;Boleto - à prazo;01/04/2021;0,1;15/05/2021;0
1299;Vestido;Seção Masculina;35,18;98;3447,64;Boleto - à prazo;01/04/2021;0,1;23/04/2021;1
1300;Calça;Seção Masculina;35,18;67;2357,06;À prazo - Cartão;01/04/2021;0,1;12/05/2021;1
1301;Vestido;Seção Feminina;38,93;18;700,74;Boleto - à prazo;01/04/2021;0,15;12/05/2021;0
1302;Sapato;Seção Feminina;38,93;26;1012,18;Dinheiro - À vista;02/04/2021;0,05;02/04/2021;0
1303;Vestido;Seção Masculina;44,21;17;751,57;À prazo - Cartão;02/04/2021;0,15;15/04/2021;0
1304;Calça;Seção Masculina;26,55;59;1566,45;À prazo - Cartão;03/04/2021;0,15;20/05/2021;0
1305;Vestido;Seção Masculina;21,34;29;618,86;Boleto - à prazo;04/04/2021;0,1;14/05/2021;1
1306;Vestido;Seção Masculina;26,55;9;238,95;À vista - boleto;04/04/2021;0,05;11/05/2021;1
1307;Vestido;Seção Masculina;21,34;19;405,46;Dinheiro - À vista;04/04/2021;0,1;04/04/2021;0
1308;Sapato;Seção Feminina;38,93;83;3231,19;Boleto - à prazo;04/04/2021;0,15;06/05/2021;0
1309;Vestido;Seção Feminina;21,34;61;1301,74;Dinheiro - À vista;06/04/2021;0,1;06/04/2021;1
1310;Sapato;Seção Masculina;21,2;27;572,4;À prazo - Cartão;07/04/2021;0,1;30/04/2021;1
1311;Vestido;Seção Feminina;26,55;37;982,35;Dinheiro - À vista;07/04/2021;0,1;07/04/2021;1
1312;Sapato;Seção Feminina;26,1;100;2610;À vista - Dinheiro;07/04/2021;0,1;07/04/2021;0
1313;Vestido;Seção Feminina;21,2;74;1568,8;À prazo - Cartão;08/04/2021;0,15;09/05/2021;1
1314;Casaco;Seção Masculina;21,2;94;1992,8;Boleto - à prazo;08/04/2021;0,1;12/04/2021;1
1315;Casaco;Seção Feminina;26,55;42;1115,1;Boleto - à prazo;08/04/2021;0,1;10/04/2021;1
1316;Calça;Seção Feminina;38,93;64;2491,52;À prazo - Cartão;09/04/2021;0,1;24/05/2021;0
1317;Sapato;Seção Feminina;26,55;92;2442,6;À vista - boleto;10/04/2021;0,15;14/04/2021;1
1318;Vestido;Seção Masculina;26,55;79;2097,45;À vista - boleto;11/04/2021;0,1;24/05/2021;0
1319;Sapato;Seção Masculina;38,93;51;1985,43;À vista - cartão;11/04/2021;0,1;16/04/2021;1
1320;Calça;Seção Feminina;26,55;76;2017,8;Boleto - à prazo;11/04/2021;0,15;24/04/2021;1
1321;Sapato;Seção Feminina;38,93;43;1673,99;À vista - Dinheiro;12/04/2021;0,1;12/04/2021;0
1322;Vestido;Seção Masculina;21,34;71;1515,14;À vista - boleto;12/04/2021;0,1;18/05/2021;1
1323;Vestido;Seção Masculina;21,2;85;1802;Boleto - à prazo;12/04/2021;0,15;09/06/2021;0
1324;Calça;Seção Masculina;21;87;1827;À prazo - Cartão;12/04/2021;0,1;26/05/2021;1
1325;Calça;Seção Feminina;26,55;70;1858,5;Boleto - à prazo;13/04/2021;0,1;14/04/2021;1
1326;Vestido;Seção Masculina;21,2;47;996,4;À vista - cartão;15/04/2021;0,15;12/05/2021;0
1327;Sapato;Seção Feminina;26,1;22;574,2;À vista - boleto;15/04/2021;0,1;19/04/2021;0
1328;Tênis;Seção Masculina;38,93;48;1868,64;À prazo - Cartão;15/04/2021;0,05;08/05/2021;1
1329;Calça;Seção Feminina;21,2;73;1547,6;À prazo - Cartão;15/04/2021;0,1;10/06/2021;0
1330;Vestido;Seção Feminina;44,21;35;1547,35;Boleto - à prazo;16/04/2021;0,1;31/05/2021;0
1331;Sapato;Seção Feminina;38,93;59;2296,87;À vista - Dinheiro;16/04/2021;0,15;16/04/2021;1
1332;Vestido;Seção Feminina;44,21;98;4332,58;Boleto - à prazo;16/04/2021;0,1;03/06/2021;0
1333;Sapato;Seção Feminina;38,93;50;1946,5;À vista - boleto;17/04/2021;0,1;19/05/2021;0
1334;Casaco;Seção Masculina;26,55;15;398,25;Boleto - à prazo;17/04/2021;0,1;10/05/2021;0
1335;Vestido;Seção Feminina;44,21;75;3315,75;Boleto - à prazo;17/04/2021;0,1;07/06/2021;0
1336;Calça;Seção Feminina;38,93;18;700,74;À vista - Dinheiro;17/04/2021;0,1;17/04/2021;1
1337;Sapato;Seção Feminina;21,2;26;551,2;À prazo - Cartão;18/04/2021;0,1;22/04/2021;1
1338;Sapato;Seção Masculina;26,55;22;584,1;À vista - boleto;18/04/2021;0,1;20/05/2021;0
1339;Vestido;Seção Masculina;38,93;77;2997,61;À vista - boleto;18/04/2021;0,1;05/06/2021;0
1340;Tênis;Seção Feminina;26,1;65;1696,5;À prazo - Cartão;18/04/2021;0,1;20/05/2021;1
1341;Casaco;Seção Masculina;38,93;91;3542,63;À prazo - Cartão;19/04/2021;0,05;14/05/2021;0
1342;Vestido;Seção Feminina;44,21;54;2387,34;Boleto - à prazo;20/04/2021;0,1;05/05/2021;0
1343;Sapato;Seção Masculina;21,34;100;2134;À prazo - Cartão;20/04/2021;0,15;15/05/2021;0
1344;Sapato;Seção Feminina;21,2;70;1484;À prazo - Cartão;20/04/2021;0,1;14/05/2021;0
1345;Sapato;Seção Masculina;44,21;16;707,36;À prazo - Cartão;21/04/2021;0,1;14/06/2021;1
1346;Calça;Seção Masculina;26,55;52;1380,6;Boleto - à prazo;21/04/2021;0,15;22/04/2021;0
1347;Sapato;Seção Masculina;26,55;41;1088,55;Boleto - à prazo;22/04/2021;0,1;19/06/2021;1
